ValuationDate,SecurityId,SecurityName,AssetClass,NetQuantity,WeightedAvgCost,RealizedPnL,UnrealizedPnL,TotalPnL,ClosePrice
02/06/2026,ET03,"Banking Sector ETF","ETF",0,0.0000,0.0000,0.0000,0.0000,470.9000
02/09/2026,BD01,"Government of India 7.26% GS 2033","Bond",52,1007.0098,145.4316,-137.7916,7.6400,1004.3600
02/09/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",133,1037.4201,0.0000,232.7400,232.7400,1039.1700
02/09/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",45,1015.0942,-522.8514,-188.2886,-711.1400,1010.9100
02/09/2026,EQ01,"Bluechip Bank Ltd","Equity",562,638.7014,49.2929,8625.8971,8675.1900,654.0500
02/09/2026,EQ02,"Prime Energy Corp","Equity",50,418.7400,-24.0200,385.5000,361.4800,426.4500
02/09/2026,EQ03,"TechNova Systems Ltd","Equity",159,1527.1555,974.9081,-2457.4181,-1482.5100,1511.7000
02/09/2026,EQ04,"Consumer Foods Ltd","Equity",854,988.5945,0.0000,-23360.7300,-23360.7300,961.2400
02/09/2026,EQ05,"Metro Pharma Ltd","Equity",411,784.4922,3611.4326,4442.0074,8053.4400,795.3000
02/09/2026,ET01,"Nifty 50 ETF","ETF",744,237.4265,1251.6000,1936.9800,3188.5800,240.0300
02/09/2026,ET02,"Gold ETF","ETF",1191,57.4709,-96.9800,-1120.6300,-1217.6100,56.5300
02/09/2026,ET03,"Banking Sector ETF","ETF",0,0.0000,0.0000,0.0000,0.0000,463.4400
02/10/2026,BD01,"Government of India 7.26% GS 2033","Bond",45,1007.0098,177.2127,-165.1427,12.0700,1003.3400
02/10/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",88,1037.4201,-202.0534,-260.4866,-462.5400,1034.4600
02/10/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",45,1015.0942,-522.8514,-410.5886,-933.4400,1005.9700
02/10/2026,EQ01,"Bluechip Bank Ltd","Equity",562,638.7014,49.2929,-2765.8429,-2716.5500,633.7800
02/10/2026,EQ02,"Prime Energy Corp","Equity",50,418.7400,-24.0200,346.5000,322.4800,425.6700
02/10/2026,EQ03,"TechNova Systems Ltd","Equity",349,1505.0330,974.9081,-5267.4581,-4292.5500,1489.9400
02/10/2026,EQ04,"Consumer Foods Ltd","Equity",1027,989.0755,0.0000,-3959.6000,-3959.6000,985.2200
02/10/2026,EQ05,"Metro Pharma Ltd","Equity",519,792.0018,3611.4326,12916.9774,16528.4100,816.8900
02/10/2026,ET01,"Nifty 50 ETF","ETF",340,237.4265,471.7410,-1073.2210,-601.4800,234.2700
02/10/2026,ET02,"Gold ETF","ETF",852,57.4709,-453.2403,-997.6197,-1450.8600,56.3000
02/10/2026,ET03,"Banking Sector ETF","ETF",0,0.0000,0.0000,0.0000,0.0000,463.9600
02/11/2026,BD01,"Government of India 7.26% GS 2033","Bond",75,1002.6575,189.8229,138.9371,328.7600,1004.5100
02/11/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",88,1037.4201,-202.0534,-323.8466,-525.9000,1033.7400
02/11/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",45,1015.0942,-522.8514,-410.1386,-932.9900,1005.9800
02/11/2026,EQ01,"Bluechip Bank Ltd","Equity",689,638.7488,111.5824,-1232.4724,-1120.8900,636.9600
02/11/2026,EQ02,"Prime Energy Corp","Equity",50,418.7400,-24.0200,383.5000,359.4800,426.4100
02/11/2026,EQ03,"TechNova Systems Ltd","Equity",401,1498.2324,974.9081,-11838.4881,-10863.5800,1468.7100
02/11/2026,EQ04,"Consumer Foods Ltd","Equity",1027,989.0755,0.0000,-28854.0800,-28854.0800,960.9800
02/11/2026,EQ05,"Metro Pharma Ltd","Equity",188,792.0018,13816.8278,6803.3822,20620.2100,828.1900
02/11/2026,ET01,"Nifty 50 ETF","ETF",131,237.4265,95.8257,-88.6257,7.2000,236.7500
02/11/2026,ET02,"Gold ETF","ETF",852,57.4709,-453.2403,-2250.0597,-2703.3000,54.8300
02/11/2026,ET03,"Banking Sector ETF","ETF",245,473.7400,0.0000,-247.4500,-247.4500,472.7300
02/12/2026,BD01,"Government of India 7.26% GS 2033","Bond",88,1001.8454,189.8229,-181.7529,8.0700,999.7800
02/12/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",102,1038.1352,-202.0534,67.8134,-134.2400,1038.8000
02/12/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",22,1015.0942,-592.6378,-185.7722,-778.4100,1006.6500
02/12/2026,EQ01,"Bluechip Bank Ltd","Equity",689,638.7488,111.5824,-12035.9924,-11924.4100,621.2800
02/12/2026,EQ02,"Prime Energy Corp","Equity",278,428.1471,-24.0200,-374.4800,-398.5000,426.8000
02/12/2026,EQ03,"TechNova Systems Ltd","Equity",143,1498.2324,-13042.4748,-6905.8152,-19948.2900,1449.9400
02/12/2026,EQ04,"Consumer Foods Ltd","Equity",1027,989.0755,0.0000,-17146.2800,-17146.2800,972.3800
02/12/2026,EQ05,"Metro Pharma Ltd","Equity",244,800.3463,13816.8278,7147.6622,20964.4900,829.6400
02/12/2026,ET01,"Nifty 50 ETF","ETF",131,237.4265,95.8257,-560.2257,-464.4000,233.1500
02/12/2026,ET02,"Gold ETF","ETF",1667,56.0812,-453.2403,-2235.7197,-2688.9600,54.7400
02/12/2026,ET03,"Banking Sector ETF","ETF",245,473.7400,0.0000,-629.6500,-629.6500,471.1700
02/13/2026,BD01,"Government of India 7.26% GS 2033","Bond",88,1001.8454,189.8229,62.8871,252.7100,1002.5600
02/13/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",102,1038.1352,-202.0534,-190.2466,-392.3000,1036.2700
02/13/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",22,1015.0942,-592.6378,-57.9522,-650.5900,1012.4600
02/13/2026,EQ01,"Bluechip Bank Ltd","Equity",689,638.7488,111.5824,-1039.5524,-927.9700,637.2400
02/13/2026,EQ02,"Prime Energy Corp","Equity",278,428.1471,-24.0200,-2431.6800,-2455.7000,419.4000
02/13/2026,EQ03,"TechNova Systems Ltd","Equity",143,1498.2324,-13042.4748,-6681.3052,-19723.7800,1451.5100
02/13/2026,EQ04,"Consumer Foods Ltd","Equity",1027,989.0755,0.0000,-49363.2700,-49363.2700,941.0100
02/13/2026,EQ05,"Metro Pharma Ltd","Equity",536,815.6674,13816.8278,7676.9022,21493.7300,829.9900
02/13/2026,ET01,"Nifty 50 ETF","ETF",418,235.6025,95.8257,178.6743,274.5000,236.0300
02/13/2026,ET02,"Gold ETF","ETF",1667,56.0812,-453.2403,-2985.8697,-3439.1100,54.2900
02/13/2026,ET03,"Banking Sector ETF","ETF",590,470.2374,0.0000,-1001.4500,-1001.4500,468.5400
02/16/2026,BD01,"Government of India 7.26% GS 2033","Bond",88,1001.8454,189.8229,270.5671,460.3900,1004.9200
02/16/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",117,1036.9203,-3.8602,59.6302,55.7700,1037.4300
02/16/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",33,1015.5828,-592.6378,-72.0322,-664.6700,1013.4000
02/16/2026,EQ01,"Bluechip Bank Ltd","Equity",866,637.0097,111.5824,-5871.2124,-5759.6300,630.2300
02/16/2026,EQ02,"Prime Energy Corp","Equity",193,428.1471,-1671.9193,-3874.8707,-5546.7900,408.0700
02/16/2026,EQ03,"TechNova Systems Ltd","Equity",397,1453.7201,-13042.4748,-1770.6552,-14813.1300,1449.2600
02/16/2026,EQ04,"Consumer Foods Ltd","Equity",412,989.0755,-29855.4834,-17652.3466,-47507.8300,946.2300
02/16/2026,EQ05,"Metro Pharma Ltd","Equity",317,815.6674,16776.0825,2986.9575,19763.0400,825.0900
02/16/2026,ET01,"Nifty 50 ETF","ETF",418,235.6025,95.8257,-1117.1257,-1021.3000,232.9300
02/16/2026,ET02,"Gold ETF","ETF",1667,56.0812,-453.2403,-2369.0797,-2822.3200,54.6600
02/16/2026,ET03,"Banking Sector ETF","ETF",1081,467.5951,0.0000,-3875.4600,-3875.4600,464.0100
02/17/2026,BD01,"Government of India 7.26% GS 2033","Bond",98,1001.6703,189.8229,-108.8129,81.0100,1000.5600
02/17/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",117,1036.9203,-3.8602,329.9002,326.0400,1039.7400
02/17/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",33,1015.5828,-592.6378,-69.3922,-662.0300,1013.4800
02/17/2026,EQ01,"Bluechip Bank Ltd","Equity",866,637.0097,111.5824,-2866.1924,-2754.6100,633.7000
02/17/2026,EQ02,"Prime Energy Corp","Equity",736,418.1587,-1671.9193,-2979.8607,-4651.7800,414.1100
02/17/2026,EQ03,"TechNova Systems Ltd","Equity",956,1443.4601,-13042.4748,-2810.7352,-15853.2100,1440.5200
02/17/2026,EQ04,"Consumer Foods Ltd","Equity",177,989.0755,-34603.7762,-4383.4938,-38987.2700,964.3100
02/17/2026,EQ05,"Metro Pharma Ltd","Equity",317,815.6674,16776.0825,-3559.0925,13216.9900,804.4400
02/17/2026,ET01,"Nifty 50 ETF","ETF",418,235.6025,95.8257,-260.2257,-164.4000,234.9800
02/17/2026,ET02,"Gold ETF","ETF",1132,56.0812,-1058.4128,-1450.2772,-2508.6900,54.8000
02/17/2026,ET03,"Banking Sector ETF","ETF",1295,466.9547,0.0000,-964.4000,-964.4000,466.2100
02/18/2026,BD01,"Government of India 7.26% GS 2033","Bond",141,1002.2954,189.8229,-64.2129,125.6100,1001.8400
02/18/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",117,1036.9203,-3.8602,148.5502,144.6900,1038.1900
02/18/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",33,1015.5828,-592.6378,-98.4322,-691.0700,1012.6000
02/18/2026,EQ01,"Bluechip Bank Ltd","Equity",832,637.0097,328.1729,7380.0971,7708.2700,645.8800
02/18/2026,EQ02,"Prime Energy Corp","Equity",736,418.1587,-1671.9193,-4930.2607,-6602.1800,411.4600
02/18/2026,EQ03,"TechNova Systems Ltd","Equity",956,1443.4601,-13042.4748,11739.5848,-1302.8900,1455.7400
02/18/2026,EQ04,"Consumer Foods Ltd","Equity",177,989.0755,-34603.7762,-1664.7738,-36268.5500,979.6700
02/18/2026,EQ05,"Metro Pharma Ltd","Equity",428,815.1905,15511.0180,-3646.7680,11864.2500,806.6700
02/18/2026,ET01,"Nifty 50 ETF","ETF",251,235.6025,61.7099,373.3501,435.0600,237.0900
02/18/2026,ET02,"Gold ETF","ETF",1132,56.0812,-1058.4128,-374.8772,-1433.2900,55.7500
02/18/2026,ET03,"Banking Sector ETF","ETF",1610,468.6423,0.0000,9817.3500,9817.3500,474.7400
02/19/2026,BD01,"Government of India 7.26% GS 2033","Bond",141,1002.2954,189.8229,-219.3129,-29.4900,1000.7400
02/19/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",176,1036.9537,-3.8602,18.7002,14.8400,1037.0600
02/19/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",25,1015.5828,-687.1402,-50.3198,-737.4600,1013.5700
02/19/2026,EQ01,"Bluechip Bank Ltd","Equity",832,637.0097,328.1729,-1322.6229,-994.4500,635.4200
02/19/2026,EQ02,"Prime Energy Corp","Equity",736,418.1587,-1671.9193,-7859.5407,-9531.4600,407.4800
02/19/2026,EQ03,"TechNova Systems Ltd","Equity",982,1443.6994,-10340.4617,7846.7217,-2493.7400,1451.6900
02/19/2026,EQ04,"Consumer Foods Ltd","Equity",336,997.2690,-34603.7762,3881.1462,-30722.6300,1008.8200
02/19/2026,EQ05,"Metro Pharma Ltd","Equity",628,808.8942,15511.0180,-5390.8480,10120.1700,800.3100
02/19/2026,ET01,"Nifty 50 ETF","ETF",251,235.6025,61.7099,591.7201,653.4300,237.9600
02/19/2026,ET02,"Gold ETF","ETF",1386,55.8812,-1058.4128,-944.1372,-2002.5500,55.2000
02/19/2026,ET03,"Banking Sector ETF","ETF",1610,468.6423,0.0000,13472.0500,13472.0500,477.0100
02/20/2026,BD01,"Government of India 7.26% GS 2033","Bond",60,1002.2954,551.4546,-110.7246,440.7300,1000.4500
02/20/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",89,1034.9060,16.6731,-41.4731,-24.8000,1034.4400
02/20/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",25,1015.5828,-687.1402,-65.5698,-752.7100,1012.9600
02/20/2026,EQ01,"Bluechip Bank Ltd","Equity",832,637.0097,328.1729,-9259.9029,-8931.7300,625.8800
02/20/2026,EQ02,"Prime Energy Corp","Equity",398,417.3021,-5555.0985,-2699.2915,-8254.3900,410.5200
02/20/2026,EQ03,"TechNova Systems Ltd","Equity",982,1443.6994,-10340.4617,32779.7017,22439.2400,1477.0800
02/20/2026,EQ04,"Consumer Foods Ltd","Equity",544,1015.8364,-34603.7762,12742.4262,-21861.3500,1039.2600
02/20/2026,EQ05,"Metro Pharma Ltd","Equity",628,808.8942,15511.0180,-2790.9280,12720.0900,804.4500
02/20/2026,ET01,"Nifty 50 ETF","ETF",251,235.6025,61.7099,280.4801,342.1900,236.7200
02/20/2026,ET02,"Gold ETF","ETF",1820,55.5824,-1058.4128,-1369.2772,-2427.6900,54.8300
02/20/2026,ET03,"Banking Sector ETF","ETF",1866,471.1690,0.0000,33235.2700,33235.2700,488.9800
02/23/2026,BD01,"Government of India 7.26% GS 2033","Bond",34,1002.2954,568.4740,-166.7840,401.6900,997.3900
02/23/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",89,1034.9060,16.6731,102.7069,119.3800,1036.0600
02/23/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",33,1016.3477,-695.5756,31.7556,-663.8200,1017.3100
02/23/2026,EQ01,"Bluechip Bank Ltd","Equity",832,637.0097,328.1729,-14276.8629,-13948.6900,619.8500
02/23/2026,EQ02,"Prime Energy Corp","Equity",398,417.3021,-5555.0985,-430.6915,-5985.7900,416.2200
02/23/2026,EQ03,"TechNova Systems Ltd","Equity",982,1443.6994,-10340.4617,70567.0617,60226.6000,1515.5600
02/23/2026,EQ04,"Consumer Foods Ltd","Equity",537,1015.8364,-34493.8512,9769.9512,-24723.9000,1034.0300
02/23/2026,EQ05,"Metro Pharma Ltd","Equity",628,808.8942,15511.0180,-27.7280,15483.2900,808.8500
02/23/2026,ET01,"Nifty 50 ETF","ETF",108,235.6025,-429.0146,-364.2354,-793.2500,232.2300
02/23/2026,ET02,"Gold ETF","ETF",2037,55.6492,-1058.4128,1407.1328,348.7200,56.3400
02/23/2026,ET03,"Banking Sector ETF","ETF",1355,471.1690,15739.2957,28496.9643,44236.2600,492.2000
02/24/2026,BD01,"Government of India 7.26% GS 2033","Bond",28,1002.2954,502.2615,-138.4715,363.7900,997.3500
02/24/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",89,1034.9060,16.6731,285.1569,301.8300,1038.1100
02/24/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",87,1016.2064,-695.5756,524.0556,-171.5200,1022.2300
02/24/2026,EQ01,"Bluechip Bank Ltd","Equity",1137,637.0053,328.1729,62.1871,390.3600,637.0600
02/24/2026,EQ02,"Prime Energy Corp","Equity",398,417.3021,-5555.0985,2546.3485,-3008.7500,423.7000
02/24/2026,EQ03,"TechNova Systems Ltd","Equity",603,1443.6994,16208.6974,36270.7826,52479.4800,1503.8500
02/24/2026,EQ04,"Consumer Foods Ltd","Equity",537,1015.8364,-34493.8512,-3520.7988,-38014.6500,1009.2800
02/24/2026,EQ05,"Metro Pharma Ltd","Equity",628,808.8942,15511.0180,-11884.3680,3626.6500,789.9700
02/24/2026,ET01,"Nifty 50 ETF","ETF",414,233.0950,-429.0146,217.3446,-211.6700,233.6200
02/24/2026,ET02,"Gold ETF","ETF",1007,55.6492,2207.4977,2437.7323,4645.2300,58.0700
02/24/2026,ET03,"Banking Sector ETF","ETF",1355,471.1690,15739.2957,38063.2643,53802.5600,499.2600
02/25/2026,BD01,"Government of India 7.26% GS 2033","Bond",28,1002.2954,502.2615,-223.5915,278.6700,994.3100
02/25/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",106,1037.2626,16.6731,459.7669,476.4400,1041.6000
02/25/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",123,1018.2621,-695.5756,688.5456,-7.0300,1023.8600
02/25/2026,EQ01,"Bluechip Bank Ltd","Equity",1351,634.7393,328.1729,-14063.0029,-13734.8300,624.3300
02/25/2026,EQ02,"Prime Energy Corp","Equity",398,417.3021,-5555.0985,2275.7085,-3279.3900,423.0200
02/25/2026,EQ03,"TechNova Systems Ltd","Equity",603,1443.6994,16208.6974,64262.0426,80470.7400,1550.2700
02/25/2026,EQ04,"Consumer Foods Ltd","Equity",537,1015.8364,-34493.8512,-5491.5888,-39985.4400,1005.6100
02/25/2026,EQ05,"Metro Pharma Ltd","Equity",998,798.0064,15511.0180,-14716.9480,794.0700,783.2600
02/25/2026,ET01,"Nifty 50 ETF","ETF",564,233.3756,-429.0146,-725.0754,-1154.0900,232.0900
02/25/2026,ET02,"Gold ETF","ETF",1007,55.6492,2207.4977,2699.5523,4907.0500,58.3300
02/25/2026,ET03,"Banking Sector ETF","ETF",1502,474.9126,15739.2957,57417.5043,73156.8000,513.1400
02/26/2026,BD01,"Government of India 7.26% GS 2033","Bond",22,1002.2954,417.5690,-188.4390,229.1300,993.7300
02/26/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",86,1037.2626,114.0215,267.2385,381.2600,1040.3700
02/26/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",68,1019.3089,425.5118,248.2782,673.7900,1022.9600
02/26/2026,EQ01,"Bluechip Bank Ltd","Equity",661,634.7393,-6640.3638,-7878.6762,-14519.0400,622.8200
02/26/2026,EQ02,"Prime Energy Corp","Equity",398,417.3021,-5555.0985,-1413.7515,-6968.8500,413.7500
02/26/2026,EQ03,"TechNova Systems Ltd","Equity",603,1443.6994,16208.6974,61572.6626,77781.3600,1545.8100
02/26/2026,EQ04,"Consumer Foods Ltd","Equity",588,1012.0976,-34493.8512,-18244.2288,-52738.0800,981.0700
02/26/2026,EQ05,"Metro Pharma Ltd","Equity",916,797.4976,13325.6567,-5072.4567,8253.2000,791.9600
02/26/2026,ET01,"Nifty 50 ETF","ETF",564,233.3756,-429.0146,-1215.7554,-1644.7700,231.2200
02/26/2026,ET02,"Gold ETF","ETF",1124,55.9834,2207.4977,2626.3023,4833.8000,58.3200
02/26/2026,ET03,"Banking Sector ETF","ETF",934,474.9126,34192.1198,22787.1402,56979.2600,499.3100
02/27/2026,BD01,"Government of India 7.26% GS 2033","Bond",22,1002.2954,417.5690,-179.6390,237.9300,994.1300
02/27/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",86,1037.2626,114.0215,139.0985,253.1200,1038.8800
02/27/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",68,1019.3089,425.5118,778.6782,1204.1900,1030.7600
02/27/2026,EQ01,"Bluechip Bank Ltd","Equity",661,634.7393,-6640.3638,-8123.2462,-14763.6100,622.4500
02/27/2026,EQ02,"Prime Energy Corp","Equity",398,417.3021,-5555.0985,1738.4085,-3816.6900,421.6700
02/27/2026,EQ03,"TechNova Systems Ltd","Equity",603,1443.6994,16208.6974,60843.0326,77051.7300,1544.6000
02/27/2026,EQ04,"Consumer Foods Ltd","Equity",588,1012.0976,-34493.8512,-14398.7088,-48892.5600,987.6100
02/27/2026,EQ05,"Metro Pharma Ltd","Equity",578,797.4976,14043.0223,2452.0977,16495.1200,801.7400
02/27/2026,ET01,"Nifty 50 ETF","ETF",1054,234.3307,-429.0146,-749.0554,-1178.0700,233.6200
02/27/2026,ET02,"Gold ETF","ETF",1473,56.4470,2207.4977,2081.3423,4288.8400,57.8600
02/27/2026,ET03,"Banking Sector ETF","ETF",934,474.9126,34192.1198,14988.2402,49180.3600,490.9600
03/02/2026,BD01,"Government of India 7.26% GS 2033","Bond",11,1002.2954,251.9595,-78.1595,173.8000,995.1900
03/02/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",86,1037.2626,114.0215,-164.4815,-50.4600,1035.3500
03/02/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",56,1019.3089,695.6456,766.7044,1462.3500,1033.0000
03/02/2026,EQ01,"Bluechip Bank Ltd","Equity",661,634.7393,-6640.3638,-8929.6662,-15570.0300,621.2300
03/02/2026,EQ02,"Prime Energy Corp","Equity",226,416.3736,-5742.6787,-256.1913,-5998.8700,415.2400
03/02/2026,EQ03,"TechNova Systems Ltd","Equity",603,1443.6994,16208.6974,73011.5726,89220.2700,1564.7800
03/02/2026,EQ04,"Consumer Foods Ltd","Equity",588,1012.0976,-34493.8512,-25012.1088,-59505.9600,969.5600
03/02/2026,EQ05,"Metro Pharma Ltd","Equity",330,797.4976,11057.6934,-3866.8134,7190.8800,785.7800
03/02/2026,ET01,"Nifty 50 ETF","ETF",1054,234.3307,-429.0146,-7779.2354,-8208.2500,226.9500
03/02/2026,ET02,"Gold ETF","ETF",1323,56.5120,2918.2772,804.3228,3722.6000,57.1200
03/02/2026,ET03,"Banking Sector ETF","ETF",575,478.7382,41042.1939,3382.0361,44424.2300,484.6200
